data,aberto,alto,baixo,fechar
2025-05-12,7.27060,7.27160,7.19940,7.20700
2025-04-30,7.26110,7.35150,7.25890,7.26330
2025-03-31,7.28200,7.29360,7.21640,7.25700
2025-02-28,7.25070,7.31230,7.22810,7.27980
2025-01-31,7.29940,7.33290,7.23610,7.25070
2024-12-31,7.25150,7.29990,7.23870,7.29940
2024-11-29,7.11450,7.25910,7.08580,7.24800
2024-10-31,7.01760,7.14310,7.01760,7.11760
2024-09-30,7.09930,7.12580,7.00900,7.02150
2024-08-30,7.21280,7.24910,7.08330,7.09200
2024-07-31,7.26710,7.27760,7.20800,7.22650
2024-06-28,7.24360,7.26930,7.23570,7.26720
2024-05-31,7.24010,7.24990,7.20110,7.24210
2024-04-30,7.22550,7.24790,7.22220,7.24220
2024-03-29,7.19250,7.23030,7.17100,7.22150
2024-02-29,7.17680,7.19950,7.17600,7.18780
2024-01-31,7.09780,7.19950,7.09780,7.16950
2023-12-29,7.13400,7.18820,7.08650,7.09780
2023-11-30,7.31630,7.32010,7.11650,7.13500
2023-10-31,7.30100,7.32340,7.27530,7.31660
2023-09-29,7.24240,7.34980,7.24240,7.30200
2023-08-31,7.16150,7.31770,7.15400,7.25950
2023-07-31,7.23200,7.25570,7.11900,7.14350
2023-06-30,7.10320,7.26990,7.05500,7.25100
2023-05-31,6.91220,7.11330,6.89210,7.10900
2023-04-28,6.88100,6.94230,6.83180,6.91790
2023-03-31,6.93500,6.97750,6.81600,6.87450
2023-02-28,6.75000,6.97390,6.70550,6.93350
2023-01-31,6.89850,6.92320,6.69050,6.75310
2022-12-30,7.04250,7.08840,6.89230,6.89720
2022-11-30,7.32120,7.32750,7.02410,7.08790
2022-10-31,7.11400,7.30950,7.10800,7.30150
2022-09-30,6.90610,7.25070,6.89330,7.11400
2022-08-31,6.74700,6.92230,6.72300,6.88870
2022-07-29,6.69440,6.77130,6.68450,6.74420
2022-06-30,6.66730,6.76090,6.63780,6.69860
2022-05-31,6.60850,6.81120,6.59080,6.67200
2022-04-29,6.34150,6.65040,6.34150,6.60850
2022-03-31,6.30700,6.38590,6.30700,6.33980
2022-02-28,6.35770,6.37100,6.30340,6.30890
2022-01-28,6.37280,6.38480,6.32050,6.36140
2021-12-31,6.36810,6.38350,6.34300,6.35610
2021-11-30,6.40470,6.40890,6.36450,6.36450
2021-10-29,6.45080,6.45800,6.37940,6.40560
2021-09-30,6.46130,6.47550,6.43060,6.44480
2021-08-31,6.46290,6.50420,6.45630,6.46050
2021-07-30,6.46220,6.51200,6.45060,6.46140
2021-06-30,6.36730,6.48960,6.36190,6.45720
2021-05-31,6.47940,6.48340,6.35730,6.37010
2021-04-30,6.55550,6.57750,6.46540,6.47560
2021-03-31,6.46760,6.57930,6.45660,6.55280
2021-02-26,6.43080,6.48930,6.43080,6.47370
2021-01-29,6.51970,6.52100,6.42360,6.42830
2020-12-31,6.58080,6.58680,6.51550,6.52720
2020-11-30,6.69360,6.74950,6.54060,6.57890
2020-10-30,6.72650,6.76070,6.64160,6.69150
2020-09-30,6.84450,6.85580,6.75130,6.79100
2020-08-31,6.98040,6.98680,6.84270,6.84850
2020-07-31,7.06720,7.07200,6.96580,6.97520
2020-06-30,7.11520,7.13930,7.05180,7.06410
2020-05-29,7.09920,7.17750,7.07090,7.13560
2020-04-30,7.08220,7.12590,7.03010,7.06280
2020-03-31,6.97370,7.12640,6.91040,7.08220
2020-02-28,6.98960,7.04280,6.95940,6.99210
2020-01-24,6.96540,6.97900,6.84080,6.91190
2019-12-31,7.02700,7.07630,6.95840,6.96320
2019-11-29,7.04780,7.04920,6.96890,7.03250
2019-10-31,7.13370,7.15120,7.03030,7.03910
2019-09-30,7.16280,7.18630,7.06220,7.14830
2019-08-30,6.90540,7.17220,6.89520,7.15600
2019-07-31,6.84170,6.89730,6.83020,6.88440
2019-06-28,6.90000,6.93580,6.83170,6.86680
2019-05-31,6.73470,6.91970,6.73200,6.90500
2019-04-30,6.70770,6.75100,6.68400,6.73480
2019-03-29,6.69720,6.74250,6.66740,6.71210
2019-02-28,6.71140,6.79500,6.67440,6.69410
2019-01-31,6.86530,6.88290,6.69240,6.70000
2018-12-28,6.92900,6.93390,6.83150,6.87850
2018-11-30,6.96790,6.97160,6.86910,6.96050
2018-10-31,6.90380,6.97710,6.88500,6.97570
2018-09-28,6.84260,6.89180,6.80800,6.86880
2018-08-31,6.82200,6.93480,6.79150,6.83150
2018-07-31,6.61700,6.84040,6.59960,6.81670
2018-06-29,6.40730,6.64050,6.38380,6.61700
2018-05-31,6.33250,6.43310,6.32560,6.40950
2018-04-30,6.27250,6.34630,6.26180,6.33240
2018-03-30,6.32860,6.36100,6.24090,6.27280
2018-02-28,6.28630,6.36310,6.25120,6.32790
2018-01-31,6.49100,6.53590,6.28340,6.28400
2017-12-29,6.60700,6.62320,6.50290,6.50620
2017-11-30,6.63480,6.65110,6.57150,6.60890
2017-10-31,6.65340,6.66180,6.56850,6.63270
2017-09-29,6.58870,6.68330,6.43490,6.65320
2017-08-31,6.72390,6.73120,6.57970,6.58880
2017-07-31,6.77920,6.80690,6.72050,6.72390
2017-06-30,6.80970,6.84410,6.75940,6.77920
2017-05-31,6.89300,6.90790,6.80970,6.81550
2017-04-28,6.88310,6.91070,6.87250,6.88990
2017-03-31,6.86770,6.91700,6.86390,6.88310
2017-02-28,6.88350,6.89160,6.84650,6.86640
2017-01-31,6.94490,6.96150,6.82900,6.87670
2016-12-30,6.89130,6.96330,6.85700,6.94290
2016-11-30,6.77570,6.93300,6.75100,6.89130
2016-10-31,6.66850,6.78430,6.66650,6.77350
2016-09-30,6.68230,6.68950,6.65100,6.66850
2016-08-31,6.63450,6.68500,6.61470,6.67750
2016-07-29,6.64540,6.70170,6.62870,6.63700
2016-06-30,6.57500,6.65870,6.54950,6.64590
2016-05-31,6.46750,6.58530,6.45320,6.57750
2016-04-29,6.46100,6.50800,6.45380,6.47380
2016-03-31,6.55100,6.55800,6.45100,6.45380
2016-02-29,6.57500,6.59080,6.48780,6.55100
2016-01-29,6.48950,6.60420,6.48950,6.57500
2015-12-31,6.39800,6.50460,6.38450,6.48950
2015-11-30,6.31810,6.39830,6.31810,6.39800
2015-10-30,6.35600,6.36880,6.31800,6.31810
2015-09-30,6.37630,6.38690,6.35390,6.35710
2015-08-31,6.20950,6.44910,6.20910,6.37640
2015-07-31,6.20250,6.21190,6.20040,6.20970
2015-06-30,6.19850,6.21610,6.19450,6.20100
2015-05-29,6.20280,6.21020,6.19260,6.19830
2015-04-30,6.19960,6.22080,6.18890,6.20280
2015-03-31,6.25840,6.27600,6.18180,6.19950
2015-02-27,6.20730,6.27000,6.20730,6.25840
2015-01-30,6.20570,6.25720,6.18690,6.24950
2014-12-31,6.14320,6.23400,6.14320,6.20150
2014-11-28,6.11700,6.14920,6.11080,6.14320
2014-10-31,6.13850,6.14450,6.10820,6.11270
2014-09-30,6.14330,6.15670,6.12550,6.13800
2014-08-29,6.17370,6.20580,6.13650,6.14300
2014-07-31,6.20350,6.21690,6.17000,6.17370
2014-06-30,6.24790,6.25710,6.15280,6.20350
2014-05-30,6.25960,6.26280,6.21810,6.24700
2014-04-30,6.20850,6.26700,6.18700,6.25960
2014-03-31,6.14470,6.23310,6.10430,6.21720
2014-02-28,6.06220,6.17200,6.05770,6.14500
2014-01-30,6.05400,6.06150,6.04080,6.06100
2013-12-31,6.09280,6.09350,6.05070,6.05400
2013-11-29,6.09470,6.10220,6.08730,6.09320
2013-10-31,6.12150,6.12150,6.08030,6.09450
2013-09-30,6.11980,6.12390,6.11450,6.12150
2013-08-30,6.12730,6.13230,6.11010,6.11950
2013-07-31,6.13350,6.14230,6.12500,6.12890
2013-06-28,6.13550,6.15170,6.12360,6.13760
2013-05-31,6.16500,6.17310,6.12120,6.13480
2013-04-30,6.21080,6.21080,6.16160,6.16500
2013-03-29,6.22140,6.22950,6.20860,6.21080
2013-02-28,6.22050,6.24530,6.22050,6.22140
2013-01-31,6.23030,6.23250,6.21290,6.22050
2012-12-31,6.22670,6.25690,6.20850,6.23030
2012-11-30,6.23720,6.24840,6.22060,6.22670
2012-10-31,6.28450,6.28990,6.23690,6.23720
2012-09-28,6.34850,6.35440,6.28380,6.28450
2012-08-31,6.36200,6.37780,6.34450,6.34870
2012-07-31,6.35370,6.39640,6.34580,6.36200
2012-06-29,6.36900,6.37880,6.35230,6.35370
2012-05-31,6.30990,6.37810,6.29750,6.36880
2012-04-30,6.29800,6.32700,6.29400,6.30990
2012-03-30,6.29930,6.34710,6.28950,6.29800
2012-02-29,6.30810,6.31400,6.28860,6.29380
2012-01-31,6.29470,6.33900,6.29200,6.30820
2011-12-30,6.37920,6.37920,6.29470,6.29470
2011-11-30,6.35450,6.38680,6.33600,6.37690
2011-10-31,6.33400,6.48300,6.33630,6.35570
2011-09-30,6.37750,6.40110,6.37700,6.37800
2011-08-31,6.43760,6.44530,6.37670,6.37800
2011-07-29,6.46350,6.47510,6.43600,6.43700
2011-06-30,6.47850,6.49300,6.45000,6.46450
2011-05-31,6.49000,6.50980,6.47810,6.47960
2011-04-29,6.54750,6.55050,6.47900,6.49000
2011-03-31,6.56600,6.57740,6.54400,6.54930
2011-02-28,6.60050,6.60270,6.55200,6.57230
2011-01-31,6.59000,6.63770,6.57400,6.60270
2010-12-31,6.66700,6.67840,6.58950,6.59100
2010-11-30,6.67540,6.69650,6.61950,6.66600
2010-10-29,6.69050,6.69220,6.61000,6.67170
2010-09-30,6.80760,6.81720,6.62200,6.69150
2010-08-31,6.77350,6.81370,6.76520,6.80790
2010-07-30,6.78150,6.79940,6.76850,6.77450
2010-06-30,6.82750,6.85000,6.77950,6.78250
2010-05-31,6.82550,6.83240,6.82450,6.82880
2010-04-30,6.82520,6.83050,6.82250,6.82450
2010-03-31,6.82680,6.83080,6.82510,6.82680
2010-02-26,6.82780,6.83560,6.82300,6.82680
2010-01-29,6.82700,6.83050,6.82330,6.82780
2009-12-31,6.82750,6.83340,6.82480,6.82700
2009-11-30,6.82780,6.83300,6.82560,6.82750
2009-10-30,6.82700,6.83600,6.82420,6.82740
2009-09-30,6.83090,6.83370,6.82560,6.82700
2009-08-31,6.83290,6.83700,6.83010,6.83090
2009-07-31,6.83120,6.83560,6.83040,6.83290
2009-06-30,6.82880,6.86600,6.82740,6.83120
2009-05-28,6.81800,6.83770,6.81030,6.82880
2009-04-30,6.83390,6.84140,6.81750,6.81800
2009-03-31,6.84050,6.84710,6.82270,6.83390
2009-02-27,6.84820,6.86000,6.82400,6.83950
2009-01-30,6.82350,6.86000,6.81500,6.83550
2008-12-31,6.82640,6.88950,6.81850,6.82350
2008-11-28,6.84000,6.84130,6.82000,6.82640
2008-10-31,6.84410,6.85860,6.81200,6.84000
2008-09-30,6.84040,6.85230,6.81150,6.84410
2008-08-29,6.83820,6.88100,6.82550,6.83520
2008-07-31,6.85860,6.86910,6.81040,6.83880
2008-06-30,6.94140,6.94870,6.85420,6.85440
2008-05-30,6.99030,7.00620,6.93500,6.94250
2008-04-30,7.01180,7.02300,6.98200,6.98850
2008-03-31,7.10580,7.11300,7.01070,7.01240
2008-02-29,7.18100,7.20050,7.10400,7.10400
2008-01-31,7.30410,7.30500,7.18220,7.18220
2007-12-31,7.40400,7.41350,7.30330,7.30410
2007-11-30,7.45500,7.46200,7.38200,7.39800
2007-10-31,7.51080,7.52830,7.46200,7.46200
2007-09-28,7.55000,7.55460,7.50150,7.50600
2007-08-31,7.56600,7.60900,7.54150,7.54500
2007-07-31,7.61000,7.61000,7.55480,7.57250
2007-06-29,7.64600,7.67050,7.61350,7.61350
2007-05-31,7.70700,7.71430,7.64500,7.64750
2007-04-30,7.73020,7.73490,7.70350,7.70550
2007-03-30,7.74280,7.75200,7.72600,7.73230
2007-02-28,7.76720,7.76760,7.73700,7.73800
2007-01-31,7.80870,7.81600,7.76820,7.77480
2006-12-29,7.83340,7.83460,7.80740,7.80750
2006-11-30,7.87250,7.88290,7.83240,7.83330
2006-10-31,7.90730,7.91850,7.87650,7.87900
2006-09-29,7.95490,7.96080,7.89790,7.90860
2006-08-31,7.97200,8.00150,7.95330,7.95330
2006-07-31,7.99050,8.00480,7.96430,7.97000
2006-06-30,8.01940,8.02460,7.99050,7.99250
2006-05-31,8.00650,8.03000,7.99550,8.02150
2006-04-28,8.02000,8.02340,8.00000,8.01290
2006-03-31,8.03740,8.05020,8.01480,8.01550
2006-02-28,8.06200,8.06200,8.03790,8.03790
2006-01-31,8.06820,8.07040,8.06060,8.06200
2005-12-30,8.07880,8.08070,8.06700,8.06820
2005-11-30,8.08600,8.08770,8.07740,8.07800
2005-10-31,8.09200,8.09240,8.08400,8.08450
2005-09-30,8.09980,8.09980,8.08710,8.09200
